sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-05T04:27:57.235Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Etc/GMT-9"",""timezoneOffset"":-540,""screen_width"":1536,""screen_height"":864,""scroll_width"":988,""scroll_height"":702,""window_innerWidth"":988,""window_innerHeight"":750,""devicePixelRatio"":1.25}",,,,,,45038.81200000596,form submission,,,,46777.5,46776.90000000596,1571.526,1879.4000000059605,1738.088,46632.764,{}
イントロ2,html.Page,1,2023-01-05T04:28:10.956Z,,,,,,,13865.235999999997,form submission,,,,60498.40000000596,60498,46615.306,46777.80000001192,46632.764,60369.613,
イントロ3,html.Page,2,2023-01-05T04:28:31.797Z,,,,,,,20969.887000000002,form submission,,,,81339.80000001192,81339.5,60352.502,60498.70000001788,60369.613,81203.831,
イントロ4,html.Page,3,2023-01-05T04:28:50.997Z,,,,,,,19336.268999994034,form submission,,,,100540.30000001192,100540.09999999404,81187.117,81340,81203.831,100400.891,
イントロ5,html.Page,4,2023-01-05T04:29:01.185Z,,,,,,,10326.509000005957,form submission,,,,110727.59999999404,110727.40000000596,100384.256,100540.5,100400.891,110609.363,
できるだけ早く正確に,canvas.Screen,5,2023-01-05T04:29:02.067Z,,,,,,,852.1999999999971,timeout,,,,111610.09999999404,111609.40000000596,110591.374,110727.70000001788,110609.363,111461.563,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-05T04:29:02.434Z,,,b,,,270,370.0529999999999,timeout,e.jpg,,,111977.30000001192,111977.09999999404,111609.40000000596,111610.80000001192,111461.563,111831.616,
注視(1秒),canvas.Screen,6_0_1,2023-01-05T04:29:03.290Z,,,b,,,270,845.041000000012,timeout,e.jpg,,,112833,112832.70000001788,111977.09999999404,111977.5,111831.616,112676.657,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-05T04:29:03.769Z,,,b,,,270,507.45999999999185,timeout,e.jpg,,,113312.30000001192,113167.209,112832.70000001788,112833.20000001788,112676.657,113184.117,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-05T04:29:04.858Z,,,b,true,b,270,1215.8830000000016,response,e.jpg,b,keypress(f),114400.59999999404,114400,113167.209,113312.70000001788,113184.117,114266.659,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-05T04:29:05.352Z,,,b,,,270,500.7670000000071,timeout,e.jpg,,,114894.70000001788,114749.206,114249.375,114401.5,114266.659,114767.426,
トライアル,flow.Sequence,6_0,2023-01-05T04:29:05.353Z,,,b,,,270,3287.643000000011,completion,e.jpg,,,114895.70000001788,114749.206,111609.40000000596,111610.70000001788,111461.563,114767.426,
空白時間1 (0.5秒),canvas.Screen,6_1_0,2023-01-05T04:29:05.853Z,,,d,,,135,498.44499999999243,timeout,eR.jpg,,,115395.5,115249.583,114749.206,114896.30000001192,114767.426,115265.871,
注視(1秒),canvas.Screen,6_1_1,2023-01-05T04:29:06.723Z,,,d,,,135,849.7050000000017,timeout,eR.jpg,,,116265.90000000596,116265.70000001788,115249.583,115395.90000000596,115265.871,116115.576,
空白時間2 (0.5秒),canvas.Screen,6_1_2,2023-01-05T04:29:07.082Z,,,d,,,135,357.3139999999985,timeout,eR.jpg,,,116625.20000001788,116624.59999999404,116265.70000001788,116266,116115.576,116472.89,
刺激提示(練習),canvas.Screen,6_1_3,2023-01-05T04:29:08.323Z,,,d,false,d,135,1391.810000017882,response,eR.jpg,b,keypress(f),117866,117864.70000001788,116624.59999999404,116626.20000001788,116472.89,117740.1,
フィードバック(0.5秒),canvas.Screen,6_1_4,2023-01-05T04:29:08.706Z,,,d,,,135,357.5989999999874,timeout,eR.jpg,,,118248.59999999404,118248.20000001788,117721.695,117869.20000001788,117740.1,118097.699,
トライアル,flow.Sequence,6_1,2023-01-05T04:29:08.707Z,,,d,,,135,3480.7740000178746,completion,eR.jpg,,,118249.5,118248.20000001788,114749.206,114896.09999999404,114767.426,118097.699,
空白時間1 (0.5秒),canvas.Screen,6_2_0,2023-01-05T04:29:09.067Z,,,b,,,180,365.07500000001164,timeout,e.jpg,,,118609.30000001192,118608.80000001192,118248.20000001788,118249.90000000596,118097.699,118462.774,
注視(1秒),canvas.Screen,6_2_1,2023-01-05T04:29:09.923Z,,,b,,,180,844.080999999991,timeout,e.jpg,,,119466.20000001788,119465.80000001192,118608.80000001192,118609.90000000596,118462.774,119306.855,
空白時間2 (0.5秒),canvas.Screen,6_2_2,2023-01-05T04:29:10.391Z,,,b,,,180,499.40899999999965,timeout,e.jpg,,,119934.30000001192,119788.515,119465.80000001192,119466.40000000596,119306.855,119806.264,
刺激提示(練習),canvas.Screen,6_2_3,2023-01-05T04:29:11.822Z,,,b,true,b,180,1557.5360000119254,response,e.jpg,b,keypress(f),121364.90000000596,121363.80000001192,119788.515,119934.59999999404,119806.264,121244.94,
フィードバック(0.5秒),canvas.Screen,6_2_4,2023-01-05T04:29:12.330Z,,,b,,,180,501.7719999999972,timeout,e.jpg,,,121873.30000001192,121727.401,121228.652,121387.09999999404,121244.94,121746.712,
トライアル,flow.Sequence,6_2,2023-01-05T04:29:12.331Z,,,b,,,180,3629.702000000005,completion,e.jpg,,,121874,121727.401,118248.20000001788,118249.80000001192,118097.699,121746.712,
空白時間1 (0.5秒),canvas.Screen,6_3_0,2023-01-05T04:29:12.713Z,,,d,,,315,349.695000000007,timeout,eR.jpg,,,122256.30000001192,122256.09999999404,121727.401,121874.5,121746.712,122096.407,
注視(1秒),canvas.Screen,6_3_1,2023-01-05T04:29:13.562Z,,,d,,,315,858.0099999999948,timeout,eR.jpg,,,123105.40000000596,123105,122256.09999999404,122256.30000001192,122096.407,122954.417,
空白時間2 (0.5秒),canvas.Screen,6_3_2,2023-01-05T04:29:14.040Z,,,d,,,315,500.6049999999959,timeout,eR.jpg,,,123582.59999999404,123437.331,123105,123105.59999999404,122954.417,123455.022,
刺激提示(練習),canvas.Screen,6_3_3,2023-01-05T04:29:15.055Z,,,d,true,d,315,1141.7780000119237,response,eR.jpg,d,keypress(j),124597.90000000596,124596.80000001192,123437.331,123583.09999999404,123455.022,124458.84,
フィードバック(0.5秒),canvas.Screen,6_3_4,2023-01-05T04:29:15.546Z,,,d,,,315,502.752999999997,timeout,eR.jpg,,,125088.70000001788,124943.713,124442.53,124599.70000001788,124458.84,124961.593,
トライアル,flow.Sequence,6_3,2023-01-05T04:29:15.546Z,,,d,,,315,3197.001000000004,completion,eR.jpg,,,125089,124943.713,121727.401,121874.30000001192,121746.712,124961.593,
練習試行(e),flow.Loop,6,2023-01-05T04:29:15.547Z,,,,,,,13482.150000000009,completion,,,,125089.5,124943.713,111609.40000000596,111610.59999999404,111461.563,124961.593,
イントロ6,html.Page,7,2023-01-05T04:29:27.098Z,,,,,,,11679.607000017888,form submission,,,,136641.30000001192,136641.20000001788,124943.713,125089.70000001788,124961.593,136525.685,
できるだけ早く正確に,canvas.Screen,8,2023-01-05T04:29:27.986Z,,,,,,,858.5199999999895,timeout,,,,137528.70000001788,137528.59999999404,136508.918,136641.5,136525.685,137384.205,
空白時間1 (0.5秒),canvas.Screen,9_0_0,2023-01-05T04:29:28.466Z,,,b,,,270,496.15600000001723,timeout,e.jpg,,,138009,137863.244,137528.59999999404,137528.80000001192,137384.205,137880.361,
注視(1秒),canvas.Screen,9_0_1,2023-01-05T04:29:29.339Z,,,b,,,270,847.6030000000028,timeout,e.jpg,,,138881.40000000596,138881.09999999404,137863.244,138009.20000001788,137880.361,138727.964,
空白時間2 (0.5秒),canvas.Screen,9_0_2,2023-01-05T04:29:29.808Z,,,b,,,270,494.4199999999837,timeout,e.jpg,,,139351.20000001788,139205.465,138881.09999999404,138881.70000001788,138727.964,139222.384,
刺激提示,canvas.Screen,9_0_3,2023-01-05T04:29:30.724Z,,,b,true,b,270,1043.91600001193,response,e.jpg,b,keypress(f),140266.70000001788,140266.30000001192,139205.465,139351.59999999404,139222.384,140138.438,
フィードバック(0.5秒),canvas.Screen,9_0_4,2023-01-05T04:29:31.107Z,,,b,,,270,364.65200000000186,timeout,e.jpg,,,140648.59999999404,140648.5,140121.331,140274.20000001788,140138.438,140503.09,
トライアル,flow.Sequence,9_0,2023-01-05T04:29:31.107Z,,,b,,,270,3264.295000000013,completion,e.jpg,,,140648.70000001788,140648.5,137528.59999999404,137528.80000001192,137384.205,140503.09,
空白時間1 (0.5秒),canvas.Screen,9_1_0,2023-01-05T04:29:31.581Z,,,d,,,180,491.89100000000326,timeout,eR.jpg,,,141123.5,140978.062,140648.5,140648.80000001192,140503.09,140994.981,
注視(1秒),canvas.Screen,9_1_1,2023-01-05T04:29:32.451Z,,,d,,,180,845.4219999999914,timeout,eR.jpg,,,141993.30000001192,141992.80000001192,140978.062,141123.80000001192,140994.981,141840.403,
空白時間2 (0.5秒),canvas.Screen,9_1_2,2023-01-05T04:29:32.921Z,,,d,,,180,494.3620000000228,timeout,eR.jpg,,,142463.20000001788,142317.992,141992.80000001192,141993.59999999404,141840.403,142334.765,
刺激提示,canvas.Screen,9_1_3,2023-01-05T04:29:33.974Z,,,d,true,d,180,1180.3349999940256,response,eR.jpg,d,keypress(j),143516.20000001788,143515.09999999404,142317.992,142463.59999999404,142334.765,143375.524,
フィードバック(0.5秒),canvas.Screen,9_1_4,2023-01-05T04:29:34.466Z,,,d,,,180,503.42499999998836,timeout,eR.jpg,,,144008.40000000596,143862.392,143358.813,143517.80000001192,143375.524,143878.949,
トライアル,flow.Sequence,9_1,2023-01-05T04:29:34.467Z,,,d,,,180,3359.301999999996,completion,eR.jpg,,,144008.80000001192,143862.392,140648.5,140648.80000001192,140503.09,143878.949,
空白時間1 (0.5秒),canvas.Screen,9_2_0,2023-01-05T04:29:34.970Z,,,b,,,315,504.3530000000028,timeout,e.jpg,,,144511.70000001788,144366.549,143862.392,144009.09999999404,143878.949,144383.302,
注視(1秒),canvas.Screen,9_2_1,2023-01-05T04:29:35.842Z,,,b,,,315,840.7300000000105,timeout,e.jpg,,,145384.09999999404,145384,144366.549,144512,144383.302,145224.032,
空白時間2 (0.5秒),canvas.Screen,9_2_2,2023-01-05T04:29:36.187Z,,,b,,,315,348.3640000000014,timeout,e.jpg,,,145729,145728.80000001192,145384,145384.20000001788,145224.032,145572.396,
刺激提示,canvas.Screen,9_2_3,2023-01-05T04:29:36.832Z,,,b,true,b,315,800.2039999940316,response,e.jpg,b,keypress(f),146373.80000001192,146372.59999999404,145728.80000001192,145729,145572.396,146248.433,
フィードバック(0.5秒),canvas.Screen,9_2_4,2023-01-05T04:29:37.340Z,,,b,,,315,506.11000000001513,timeout,e.jpg,,,146881.80000001192,146736.235,146231.685,146390.20000001788,146248.433,146754.543,
トライアル,flow.Sequence,9_2,2023-01-05T04:29:37.340Z,,,b,,,315,2857.285999999993,completion,e.jpg,,,146882.09999999404,146736.235,143862.392,144009,143878.949,146754.543,
空白時間1 (0.5秒),canvas.Screen,9_3_0,2023-01-05T04:29:37.843Z,,,d,,,135,502.4199999999837,timeout,eR.jpg,,,147385.09999999404,147240.166,146736.235,146882.30000001192,146754.543,147256.963,
注視(1秒),canvas.Screen,9_3_1,2023-01-05T04:29:38.723Z,,,d,,,135,854.1030000000028,timeout,eR.jpg,,,148264.80000001192,148264.40000000596,147240.166,147385.5,147256.963,148111.066,
空白時間2 (0.5秒),canvas.Screen,9_3_2,2023-01-05T04:29:39.193Z,,,d,,,135,497.00900000002,timeout,eR.jpg,,,148735.30000001192,148589.767,148264.40000000596,148265,148111.066,148608.075,
