sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-15T12:11:14.554Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1536,""screen_height"":864,""scroll_width"":1148,""scroll_height"":710,""window_innerWidth"":1148,""window_innerHeight"":758,""devicePixelRatio"":1.25}",,,,,,14412.98699961853,form submission,,,,15586.299999713898,15585.89999961853,756.613,1323.7999997138977,1172.913,15443.817,{}
イントロ2,html.Page,1,2023-01-15T12:11:20.578Z,,,,,,,6166.7829999046335,form submission,,,,21610.699999809265,21610.599999904633,15410.702,15586.599999904633,15443.817,21455.306,
イントロ3,html.Page,2,2023-01-15T12:11:45.809Z,,,,,,,25386.493999713897,form submission,,,,46841.89999961853,46841.7999997139,21438.634,21610.799999713898,21455.306,46699.913,
イントロ4,html.Page,3,2023-01-15T12:11:54.558Z,,,,,,,8891.087,form submission,,,,55591.199999809265,55591,46683.31,46842,46699.913,55442.306,
イントロ5,html.Page,4,2023-01-15T12:11:59.468Z,,,,,,,5058.694000000003,form submission,,,,60501.199999809265,60501,55425.645,55591.2999997139,55442.306,60354.624,
できるだけ早く正確に,canvas.Screen,5,2023-01-15T12:12:00.331Z,,,,,,,849.3089999999938,timeout,,,,61364.199999809265,61363.89999961853,60338.24,60501.39999961853,60354.624,61203.933,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-15T12:12:00.691Z,,,b,,,270,349.70900000000256,timeout,b.jpg,,,61723.199999809265,61722.89999961853,61363.89999961853,61364.39999961853,61203.933,61553.642,
注視(1秒),canvas.Screen,6_0_1,2023-01-15T12:12:01.531Z,,,b,,,270,849.2160000000003,timeout,b.jpg,,,62563.89999961853,62563.59999990463,61722.89999961853,61723.5,61553.642,62402.858,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-15T12:12:01.884Z,,,b,,,270,349.77300000000105,timeout,b.jpg,,,62916.59999990463,62916.39999961853,62563.59999990463,62564,62402.858,62752.631,
刺激提示,canvas.Screen,6_0_3,2023-01-15T12:12:03.316Z,,,b,false,b,270,1595.3689999999988,response,b.jpg,d,keypress(j),64348.7999997139,64348,62916.39999961853,62916.59999990463,62752.631,64201.235,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-15T12:12:03.683Z,,,b,,,270,349.77500000000146,timeout,b.jpg,,,64715.89999961853,64715.59999990463,64184.653,64349.7999997139,64201.235,64551.01,
トライアル,flow.Sequence,6_0,2023-01-15T12:12:03.683Z,,,b,,,270,3511.6669999046353,completion,b.jpg,,,64716.09999990463,64715.59999990463,61363.89999961853,61364.2999997139,61203.933,64551.01,
空白時間1 (0.5秒),canvas.Screen,6_1_0,2023-01-15T12:12:04.035Z,,,d,,,135,349.7239999999947,timeout,d.jpg,,,65067.89999961853,65067.699999809265,64715.59999990463,64716.199999809265,64551.01,64900.734,
注視(1秒),canvas.Screen,6_1_1,2023-01-15T12:12:04.876Z,,,d,,,135,849.2750000000087,timeout,d.jpg,,,65908.2999997139,65907.7999997139,65067.699999809265,65068.09999990463,64900.734,65750.009,
