sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
html.Page,0,2023-01-14T03:36:31.524Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Etc/GMT-9"",""timezoneOffset"":-540,""screen_width"":1280,""screen_height"":720,""scroll_width"":880,""scroll_height"":760,""window_innerWidth"":880,""window_innerHeight"":808,""devicePixelRatio"":1.125}",,,,,,2506.62,form submission,,,,3472.3,3472.1,882.15,1185.7,965.48,3265.176,{}
html.Page,1,2023-01-14T03:36:33.717Z,,,,,,,2400.024,form submission,,,,5665.3,5665.2,3248.579,3472.6,3265.176,5481.554,
html.Page,2,2023-01-14T03:36:37.508Z,,,,,,,3974.846,form submission,,,,9456.5,9456.4,5465.132,5665.5,5481.554,9247.758,
html.Page,3,2023-01-14T03:36:40.478Z,,,,,,,3178.442,form submission,,,,12426.5,12426.2,9231.482,9456.6,9247.758,12214.042,
html.Page,4,2023-01-14T03:36:42.830Z,,,,,,,2564.058,form submission,,,,14778.2,14778.1,12197.725,12426.6,12214.042,14563.687,
canvas.Screen,5,2023-01-14T03:36:43.595Z,,,,,,,753.42,timeout,,,,15543.6,15543,14547.275,14778.3,14563.687,15317.107,
canvas.Screen,6_0_0,2023-01-14T03:36:43.862Z,,,b,,,180,263.464,timeout,e.jpg,,,15810.5,15810.1,15543,15543.8,15317.107,15580.571,
canvas.Screen,6_0_1,2023-01-14T03:36:44.612Z,,,b,,,180,749.656,timeout,e.jpg,,,16559.8,16559.4,15810.1,15810.8,15580.571,16330.227,
canvas.Screen,6_0_2,2023-01-14T03:36:44.873Z,,,b,,,180,267.117,timeout,e.jpg,,,16821.4,16820.9,16559.4,16560,16330.227,16597.344,
canvas.Screen,6_0_3,2023-01-14T03:36:45.940Z,,,b,FALSE,b,180,1289.156,response,e.jpg,d,keypress(j),17888.3,17886.5,16820.9,16821.7,16597.344,17679.951,
canvas.Screen,6_0_4,2023-01-14T03:36:46.212Z,,,b,,,180,260.752,timeout,e.jpg,,,18160.3,18159.9,17667.612,17890.3,17679.951,17940.703,
flow.Sequence,6_0,2023-01-14T03:36:46.213Z,,,b,,,180,2842.793,completion,e.jpg,,,18160.9,18159.9,15543,15543.8,15317.107,17940.703,
canvas.Screen,6_1_0,2023-01-14T03:36:46.471Z,,,d,,,135,256.515,timeout,eR.jpg,,,18419.5,18418.8,18159.9,18161.1,17940.703,18197.218,
canvas.Screen,6_1_1,2023-01-14T03:36:47.232Z,,,d,,,135,750.922,timeout,eR.jpg,,,19179.9,19179.4,18418.8,18419.7,18197.218,18948.14,
canvas.Screen,6_1_2,2023-01-14T03:36:47.476Z,,,d,,,135,248.661,timeout,eR.jpg,,,19424.3,19423.8,19179.4,19180.1,18948.14,19196.801,
canvas.Screen,6_1_3,2023-01-14T03:36:48.476Z,,,d,FALSE,d,135,1226.199,response,eR.jpg,b,keypress(f),20424,20423,19423.8,19424.5,19196.801,20212.935,
