sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
html.Page,0,2023-01-14T04:30:39.565Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Etc/GMT-9"",""timezoneOffset"":-540,""screen_width"":1280,""screen_height"":720,""scroll_width"":880,""scroll_height"":760,""window_innerWidth"":880,""window_innerHeight"":808,""devicePixelRatio"":1.125}",,,,,,1558.281,form submission,,,,2633.2,2632.9,991.271,1176.3,1074.619,2540.889,{}
html.Page,1,2023-01-14T04:30:41.443Z,,,,,,,1970.011,form submission,,,,4511.2,4510.9,2524.324,2633.4,2540.889,4440.729,
html.Page,2,2023-01-14T04:30:43.637Z,,,,,,,2263.871,form submission,,,,6704.7,6704.6,4424.276,4511.2,4440.729,6631.645,
html.Page,3,2023-01-14T04:30:45.898Z,,,,,,,2334.455,form submission,,,,8966.3,8966.1,6590.827,6704.8,6631.645,8873.375,
html.Page,4,2023-01-14T04:30:48.813Z,,,,,,,3007.525,form submission,,,,11881.1,11880.9,8858.606,8966.4,8873.375,11789.699,
canvas.Screen,5,2023-01-14T04:30:49.804Z,,,,,,,999.851,timeout,,,,12872.2,12773.202,11773.327,11881.3,11789.699,12789.55,
canvas.Screen,6_0_0,2023-01-14T04:30:50.304Z,,,b,,,270,500.158,timeout,e.jpg,,,13372,13273.118,12773.202,12872.6,12789.55,13289.708,
canvas.Screen,6_0_1,2023-01-14T04:30:51.304Z,,,b,,,270,999.877,timeout,e.jpg,,,14371.8,14273.015,13273.118,13372.2,13289.708,14289.585,
canvas.Screen,6_0_2,2023-01-14T04:30:51.803Z,,,b,,,270,499.718,timeout,e.jpg,,,14871.6,14772.859,14273.015,14372,14289.585,14789.303,
canvas.Screen,6_0_3,2023-01-14T04:30:53.179Z,,,b,TRUE,b,270,1455.897,response,e.jpg,b,keypress(f),16246.8,16245.2,14772.859,14871.9,14789.303,16156.033,
canvas.Screen,6_0_4,2023-01-14T04:30:53.670Z,,,b,,,270,500.179,timeout,e.jpg,,,16738.3,16639.446,16141.603,16248.7,16156.033,16656.212,
flow.Sequence,6_0,2023-01-14T04:30:53.671Z,,,b,,,270,3849.896,completion,e.jpg,,,16738.9,16639.446,12773.202,12872.6,12789.55,16656.212,
canvas.Screen,6_1_0,2023-01-14T04:30:54.170Z,,,d,,,135,499.873,timeout,eR.jpg,,,17238,17139.271,16639.446,16739.2,16656.212,17156.085,
canvas.Screen,6_1_1,2023-01-14T04:30:55.170Z,,,d,,,135,999.509,timeout,eR.jpg,,,18237.9,18139.164,17139.271,17238.2,17156.085,18155.594,
canvas.Screen,6_1_2,2023-01-14T04:30:55.670Z,,,d,,,135,499.897,timeout,eR.jpg,,,18738,18639.259,18139.164,18238,18155.594,18655.491,
canvas.Screen,6_1_3,2023-01-14T04:30:56.374Z,,,d,TRUE,d,135,785.909,response,eR.jpg,d,keypress(j),19441.8,19441.4,18639.259,18738.3,18655.491,19355.449,
canvas.Screen,6_1_4,2023-01-14T04:30:56.870Z,,,d,,,135,499.936,timeout,eR.jpg,,,19937.7,19838.901,19339.336,19442.8,19355.449,19855.385,
flow.Sequence,6_1,2023-01-14T04:30:56.870Z,,,d,,,135,3182.689,completion,eR.jpg,,,19938.1,19838.901,16639.446,16739,16656.212,19855.385,
canvas.Screen,6_2_0,2023-01-14T04:30:57.370Z,,,b,,,180,500.694,timeout,e.jpg,,,20437.7,20339.06,19838.901,19938.3,19855.385,20356.079,
canvas.Screen,6_2_1,2023-01-14T04:30:58.369Z,,,b,,,180,999.098,timeout,e.jpg,,,21437.6,21338.818,20339.06,20437.9,20356.079,21355.177,
canvas.Screen,6_2_2,2023-01-14T04:30:58.869Z,,,b,,,180,500.025,timeout,e.jpg,,,21937.2,21838.568,21338.818,21437.8,21355.177,21855.202,
canvas.Screen,6_2_3,2023-01-14T04:30:59.456Z,,,b,FALSE,b,180,667.798,response,e.jpg,d,keypress(j),22523.9,22523,21838.568,21937.4,21855.202,22438.261,
canvas.Screen,6_2_4,2023-01-14T04:30:59.952Z,,,b,,,180,500.099,timeout,e.jpg,,,23020.5,22921.762,22422.902,22531.6,22438.261,22938.36,
flow.Sequence,6_2,2023-01-14T04:30:59.953Z,,,b,,,180,3066.377,completion,e.jpg,,,23020.8,22921.762,19838.901,19938.3,19855.385,22938.36,
canvas.Screen,6_3_0,2023-01-14T04:31:00.452Z,,,d,,,315,499.928,timeout,eR.jpg,,,23520.3,23421.712,22921.762,23021,22938.36,23438.288,
canvas.Screen,6_3_1,2023-01-14T04:31:01.452Z,,,d,,,315,1000.041,timeout,eR.jpg,,,24520.1,24421.557,23421.712,23520.5,23438.288,24438.329,
canvas.Screen,6_3_2,2023-01-14T04:31:01.952Z,,,d,,,315,499.796,timeout,eR.jpg,,,25020.2,24921.534,24421.557,24520.3,24438.329,24938.125,
canvas.Screen,6_3_3,2023-01-14T04:31:02.985Z,,,d,FALSE,d,315,1114.375,response,eR.jpg,b,keypress(f),26053.5,26052.5,24921.534,25020.4,24938.125,25971.149,
canvas.Screen,6_3_4,2023-01-14T04:31:03.485Z,,,d,,,315,500.074,timeout,eR.jpg,,,26553.3,26454.661,25956.335,26064.7,25971.149,26471.223,
flow.Sequence,6_3,2023-01-14T04:31:03.485Z,,,d,,,315,3516.301,completion,eR.jpg,,,26553.7,26454.661,22921.762,23020.9,22938.36,26471.223,
