sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-16T05:31:57.358Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":770,""window_innerWidth"":1440,""window_innerHeight"":818,""devicePixelRatio"":2}",,,,,,83842,form submission,,,,85152,85152,1027,1622,1310,84866,{}
イントロ2,html.Page,1,2023-01-16T05:32:00.155Z,,,,,,,3084,form submission,,,,87950,87950,84833,85153,84866,87666,
イントロ3,html.Page,2,2023-01-16T05:32:02.722Z,,,,,,,2850,form submission,,,,90516,90516,87633,87950,87666,90233,
イントロ4,html.Page,3,2023-01-16T05:32:03.522Z,,,,,,,1083,form submission,,,,91316,91316,90199,90516,90233,91033,
イントロ5,html.Page,4,2023-01-16T05:32:03.857Z,,,,,,,618,form submission,,,,91651,91651,90999,91316,91033,91366,
できるだけ早く正確に,canvas.Screen,5,2023-01-16T05:32:04.619Z,,,,,,,733,timeout,,,,92413,92413,91333,91651,91366,92099,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-16T05:32:04.842Z,,,d,,,135,200,timeout,eR.jpg,,,92636,92636,92413,92413,92099,92299,
注視(1秒),canvas.Screen,6_0_1,2023-01-16T05:32:05.552Z,,,d,,,135,700,timeout,eR.jpg,,,93346,93346,92636,92636,92299,92999,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-16T05:32:05.776Z,,,d,,,135,234,timeout,eR.jpg,,,93570,93569,93346,93346,92999,93233,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-16T05:32:06.682Z,,,d,true,d,135,1239,response,eR.jpg,d,keypress(j),94476,94472,93569,93570,93233,94199,
