sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2022-12-26T14:27:12.444Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":2560,""screen_height"":1440,""scroll_width"":1660,""scroll_height"":1256,""window_innerWidth"":1660,""window_innerHeight"":1304,""devicePixelRatio"":1}",,,,,,1921.8889999998137,form submission,,,,2843.2999999998137,2842.2999999998137,736.931,932.0999999996275,920.411,2855.291,{}
イントロ2,html.Page,1,2022-12-26T14:27:14.335Z,,,,,,,1879.0089999998136,form submission,,,,4734.5,4734.299999999814,2838.611,2843.9000000003725,2855.291,4740.131,
イントロ3,html.Page,2,2022-12-26T14:27:15.345Z,,,,,,,1003.6689999998134,form submission,,,,5744.200000000186,5743.799999999814,4723.451,4734.5999999996275,4740.131,5757.611,
イントロ4,html.Page,3,2022-12-26T14:27:16.008Z,,,,,,,648.7890000003727,form submission,,,,6406.5999999996275,6406.4000000003725,5740.931,5744.4000000003725,5757.611,6408.131,
イントロ5,html.Page,4,2022-12-26T14:27:19.396Z,,,,,,,3386.6689999998134,form submission,,,,9795.599999999627,9794.799999999814,6391.451,6406.700000000186,6408.131,9810.851,
できるだけ早く正確に,canvas.Screen,5,2022-12-26T14:27:20.399Z,,,,,,,1017.9189999999999,timeout,,,,10797.799999999814,10795.41,9794.171,9795.700000000186,9810.851,10828.77,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2022-12-26T14:27:20.916Z,,,d,,,315,500.39999999999964,timeout,eR.jpg,,,11315.099999999627,11312.49,10795.41,10798.099999999627,10828.77,11329.17,
注視(1秒),canvas.Screen,6_0_1,2022-12-26T14:27:21.916Z,,,d,,,315,1000.7999999999993,timeout,eR.jpg,,,12315.400000000373,12313.29,11312.49,11315.400000000373,11329.17,12329.97,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2022-12-26T14:27:22.417Z,,,d,,,315,500.40000000000146,timeout,eR.jpg,,,12816.299999999814,12813.69,12313.29,12315.700000000186,12329.97,12830.37,
刺激提示(練習),canvas.Screen,6_0_3,2022-12-26T14:27:23.034Z,,,d,true,d,315,597.0300000003717,response,eR.jpg,d,keypress(j),13433.5,13427.400000000373,12813.69,12816.900000000373,12830.37,13447.53,
