sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-09T08:24:10.028Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1440,""scroll_height"":753,""window_innerWidth"":1440,""window_innerHeight"":801,""devicePixelRatio"":1}",,,,,,12209.181999999906,form submission,,,,12709.5,12708.899999999907,419.69,579.3999999999069,499.718,12637.691,{}
イントロ2,html.Page,1,2023-01-09T08:24:18.815Z,,,,,,,8858.909000000092,form submission,,,,21497.100000000093,21496.600000000093,12624.353,12710.09999999986,12637.691,21427.433,
イントロ3,html.Page,2,2023-01-09T08:24:28.098Z,,,,,,,9352.667000000092,form submission,,,,30780.399999999907,30780.100000000093,21414.095,21497.399999999907,21427.433,30710.681,
イントロ4,html.Page,3,2023-01-09T08:24:41.864Z,,,,,,,13834.819,form submission,,,,44546,44545.5,30697.343,30780.5,30710.681,44476.141,
イントロ5,html.Page,4,2023-01-09T08:24:44.584Z,,,,,,,2790.1589999998105,form submission,,,,47266.5,47266.299999999814,44462.803,44546.299999999814,44476.141,47210.431,
できるだけ早く正確に,canvas.Screen,5,2023-01-09T08:24:45.594Z,,,,,,,1000.3500000000058,timeout,,,,48276.5,48197.443,47183.755,47266.69999999972,47210.431,48210.781,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-09T08:24:46.087Z,,,d,,,315,493.50599999999395,timeout,eR.jpg,,,48769.10000000009,48690.949,48197.443,48277,48210.781,48704.287,
注視(1秒),canvas.Screen,6_0_1,2023-01-09T08:24:47.087Z,,,d,,,315,1000.3500000000058,timeout,eR.jpg,,,49769.19999999972,49691.299,48690.949,48769.60000000009,48704.287,49704.637,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-09T08:24:47.581Z,,,d,,,315,493.50599999999395,timeout,eR.jpg,,,50263.10000000009,50184.805,49691.299,49769.5,49704.637,50198.143,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-09T08:24:49.091Z,,,d,true,d,315,1569.2569999999105,response,eR.jpg,d,keypress(j),51773.39999999991,51767.39999999991,50184.805,50263.39999999991,50198.143,51705.337,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-09T08:24:49.582Z,,,d,,,315,493.5060000000012,timeout,eR.jpg,,,52264.19999999972,52185.505,51691.999,51775.19999999972,51705.337,52198.843,
トライアル,flow.Sequence,6_0,2023-01-09T08:24:49.583Z,,,d,,,315,3974.7239999999947,completion,eR.jpg,,,52265,52185.505,48197.443,48276.89999999991,48210.781,52198.843,
空白時間1 (0.5秒),canvas.Screen,6_1_0,2023-01-09T08:24:50.076Z,,,b,,,180,493.5060000000012,timeout,e.jpg,,,52757.89999999991,52679.011,52185.505,52265.39999999991,52198.843,52692.349,
注視(1秒),canvas.Screen,6_1_1,2023-01-09T08:24:51.075Z,,,b,,,180,1000.3499999999985,timeout,e.jpg,,,53757.60000000009,53679.361,52679.011,52758.19999999972,52692.349,53692.699,
