sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-15T06:12:17.238Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":773,""window_innerWidth"":1440,""window_innerHeight"":821,""devicePixelRatio"":2}",,,,,,10159.81600001192,form submission,,,,11015.40000000596,11014.800000011921,688.434,983.8000000119209,854.984,10881.795,{}
イントロ2,html.Page,1,2023-01-15T06:12:33.316Z,,,,,,,16210.705,form submission,,,,27092.80000001192,27092.5,10865.14,11016,10881.795,26954.274,
イントロ3,html.Page,2,2023-01-15T06:12:43.349Z,,,,,,,10171.426000002979,form submission,,,,37126,37125.70000000298,26937.619,27093.10000000894,26954.274,36997.239,
イントロ4,html.Page,3,2023-01-15T06:13:03.121Z,,,,,,,19900.16100000596,form submission,,,,56897.60000000894,56897.40000000596,36980.584,37126.10000000894,36997.239,56767.317,
イントロ5,html.Page,4,2023-01-15T06:13:06.730Z,,,,,,,3738.6829999999973,form submission,,,,60506.30000001192,60506,56750.662,56897.80000001192,56767.317,60398.848,
できるだけ早く正確に,canvas.Screen,5,2023-01-15T06:13:07.616Z,,,,,,,849.4049999999988,timeout,,,,61392.20000000298,61391.30000001192,60365.538,60506.40000000596,60398.848,61248.253,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-15T06:13:07.972Z,,,d,,,315,349.75500000000466,timeout,eR.jpg,,,61749.20000000298,61748.5,61391.30000001192,61392.80000001192,61248.253,61598.008,
注視(1秒),canvas.Screen,6_0_1,2023-01-15T06:13:08.815Z,,,d,,,315,849.4049999999988,timeout,eR.jpg,,,62591.80000001192,62591.10000000894,61748.5,61749.60000000894,61598.008,62447.413,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-15T06:13:09.173Z,,,d,,,315,349.7549999999974,timeout,eR.jpg,,,62949.5,62948.5,62591.10000000894,62592.20000000298,62447.413,62797.168,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-15T06:13:10.276Z,,,d,true,d,315,1245.9320000089429,response,eR.jpg,d,keypress(j),64052.5,64043.10000000894,62948.5,62950.20000000298,62797.168,63913.053,
