sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-12T14:15:30.239Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":719,""window_innerWidth"":1440,""window_innerHeight"":767,""devicePixelRatio"":2}",,,,,,45469.016000000745,form submission,,,,46392.5,46391.800000000745,772.79,1394,922.784,45938.121,{}
イントロ2,html.Page,1,2023-01-12T14:15:39.046Z,,,,,,,9261.679000000746,form submission,,,,55200.10000000149,55199.800000000745,45921.441,46393.10000000149,45938.121,54744.262,
イントロ3,html.Page,2,2023-01-12T14:15:56.922Z,,,,,,,18331.538000000743,form submission,,,,73076.19999999925,73075.80000000075,54727.582,55200.39999999851,54744.262,72625.222,
イントロ4,html.Page,3,2023-01-12T14:16:15.350Z,,,,,,,18878.47799999926,form submission,,,,91504.19999999925,91503.69999999925,72608.542,73076.30000000075,72625.222,91054.705,
イントロ5,html.Page,4,2023-01-12T14:16:21.156Z,,,,,,,6254.694999998508,form submission,,,,97309.80000000075,97309.39999999851,91038.025,91504.5,91054.705,96857.516,
できるだけ早く正確に,canvas.Screen,5,2023-01-12T14:16:21.805Z,,,,,,,633.8399999999965,timeout,,,,97959.5,97958.80000000075,96840.836,97310,96857.516,97491.356,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-12T14:16:22.037Z,,,b,,,270,250.1999999999971,timeout,e.jpg,,,98191.30000000075,98190.69999999925,97958.80000000075,97959.89999999851,97491.356,97741.556,
注視(1秒),canvas.Screen,6_0_1,2023-01-12T14:16:22.693Z,,,b,,,270,633.8399999999965,timeout,e.jpg,,,98847.19999999925,98846.89999999851,98190.69999999925,98191.89999999851,97741.556,98375.396,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-12T14:16:22.932Z,,,b,,,270,233.52000000000407,timeout,e.jpg,,,99086,99085.10000000149,98846.89999999851,98847.60000000149,98375.396,98608.916,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-12T14:16:23.741Z,,,b,false,b,270,1275.6840000014927,response,e.jpg,d,keypress(j),99895.30000000075,99884.60000000149,99085.10000000149,99086.30000000075,98608.916,99442.916,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-12T14:16:23.970Z,,,b,,,270,233.52000000000407,timeout,e.jpg,,,100124.30000000075,100123.89999999851,99426.236,99896.89999999851,99442.916,99676.436,
トライアル,flow.Sequence,6_0,2023-01-12T14:16:23.971Z,,,b,,,270,2632.54399999851,completion,e.jpg,,,100125.80000000075,100123.89999999851,97958.80000000075,97959.80000000075,97491.356,99676.436,
空白時間1 (0.5秒),canvas.Screen,6_1_0,2023-01-12T14:16:24.005Z,,,d,,,315,16.679999999993015,timeout,eR.jpg,,,100159.30000000075,100159.19999999925,100123.89999999851,100126,99676.436,99693.116,
注視(1秒),canvas.Screen,6_1_1,2023-01-12T14:16:24.632Z,,,d,,,315,617.1600000000035,timeout,eR.jpg,,,100786.39999999851,100786,100159.19999999925,100159.39999999851,99693.116,100310.276,
空白時間2 (0.5秒),canvas.Screen,6_1_2,2023-01-12T14:16:24.636Z,,,d,,,315,16.680000000007567,timeout,eR.jpg,,,100790,100789.69999999925,100786,100786.69999999925,100310.276,100326.956,
刺激提示(練習),canvas.Screen,6_1_3,2023-01-12T14:16:25.613Z,,,d,true,d,315,1424.9439999985043,response,eR.jpg,d,keypress(j),101767.30000000075,101751.89999999851,100789.69999999925,100790.19999999925,100326.956,101311.076,
フィードバック(0.5秒),canvas.Screen,6_1_4,2023-01-12T14:16:25.834Z,,,d,,,315,199.31999999999243,timeout,eR.jpg,,,101988,101987.60000000149,101294.396,101769.39999999851,101311.076,101510.396,
トライアル,flow.Sequence,6_1,2023-01-12T14:16:25.834Z,,,d,,,315,2311.1640000014886,completion,eR.jpg,,,101988.30000000075,101987.60000000149,100123.89999999851,100126,99676.436,101510.396,
空白時間1 (0.5秒),canvas.Screen,6_2_0,2023-01-12T14:16:25.836Z,,,b,,,180,50.04000000000815,timeout,e.jpg,,,101990.5,101990.30000000075,101987.60000000149,101988.5,101510.396,101560.436,
注視(1秒),canvas.Screen,6_2_1,2023-01-12T14:16:26.501Z,,,b,,,180,617.1600000000035,timeout,e.jpg,,,102655.19999999925,102654.80000000075,101990.30000000075,101990.60000000149,101560.436,102177.596,
空白時間2 (0.5秒),canvas.Screen,6_2_2,2023-01-12T14:16:26.504Z,,,b,,,180,50.0399999999936,timeout,e.jpg,,,102658.30000000075,102657.19999999925,102654.80000000075,102655.39999999851,102177.596,102227.636,
刺激提示(練習),canvas.Screen,6_2_3,2023-01-12T14:16:27.484Z,,,b,true,b,180,1403.2639999985113,response,e.jpg,b,keypress(f),103638.60000000149,103630.89999999851,102657.19999999925,102658.60000000149,102227.636,103195.076,
フィードバック(0.5秒),canvas.Screen,6_2_4,2023-01-12T14:16:27.520Z,,,b,,,180,16.679999999993015,timeout,e.jpg,,,103674,103673.80000000075,103178.396,103640.69999999925,103195.076,103211.756,
トライアル,flow.Sequence,6_2,2023-01-12T14:16:27.520Z,,,b,,,180,2163.4040000007517,completion,e.jpg,,,103674,103673.80000000075,101987.60000000149,101988.5,101510.396,103211.756,
空白時間1 (0.5秒),canvas.Screen,6_3_0,2023-01-12T14:16:27.546Z,,,d,,,135,33.36000000000058,timeout,eR.jpg,,,103700.10000000149,103700,103673.80000000075,103674.19999999925,103211.756,103245.116,
注視(1秒),canvas.Screen,6_3_1,2023-01-12T14:16:28.210Z,,,d,,,135,650.5200000000041,timeout,eR.jpg,,,104364.5,104364.10000000149,103700,103700.10000000149,103245.116,103895.636,
空白時間2 (0.5秒),canvas.Screen,6_3_2,2023-01-12T14:16:28.440Z,,,d,,,135,233.52000000000407,timeout,eR.jpg,,,104594,104593.60000000149,104364.10000000149,104364.80000000075,103895.636,104129.156,
刺激提示(練習),canvas.Screen,6_3_3,2023-01-12T14:16:29.376Z,,,d,false,d,135,1391.7439999985072,response,eR.jpg,b,keypress(f),105529.80000000075,105520.89999999851,104593.60000000149,104594.19999999925,104129.156,105096.596,
フィードバック(0.5秒),canvas.Screen,6_3_4,2023-01-12T14:16:29.618Z,,,d,,,135,200.15999999998894,timeout,eR.jpg,,,105772.80000000075,105772.39999999851,105079.916,105531.30000000075,105096.596,105296.756,
トライアル,flow.Sequence,6_3,2023-01-12T14:16:29.619Z,,,d,,,135,2560.643999998516,completion,eR.jpg,,,105773.19999999925,105772.39999999851,103673.80000000075,103674.10000000149,103211.756,105296.756,
練習試行(e),flow.Loop,6,2023-01-12T14:16:29.619Z,,,,,,,8281.04399999851,completion,,,,105773.5,105772.39999999851,97958.80000000075,97959.80000000075,97491.356,105296.756,
イントロ6,html.Page,7,2023-01-12T14:16:38.707Z,,,,,,,9564.844000001496,form submission,,,,114861.69999999925,114861.60000000149,105772.39999999851,105773.60000000149,105296.756,114386.526,
できるだけ早く正確に,canvas.Screen,8,2023-01-12T14:16:39.324Z,,,,,,,617.1600000000035,timeout,,,,115478.60000000149,115478.39999999851,114369.846,114861.80000000075,114386.526,115003.686,
空白時間1 (0.5秒),canvas.Screen,9_0_0,2023-01-12T14:16:39.327Z,,,d,,,45,33.36000000000058,timeout,eR.jpg,,,115481.30000000075,115481,115478.39999999851,115479,115003.686,115037.046,
注視(1秒),canvas.Screen,9_0_1,2023-01-12T14:16:39.980Z,,,d,,,45,633.8399999999965,timeout,eR.jpg,,,116134.60000000149,116134.30000000075,115481,115481.39999999851,115037.046,115670.886,
空白時間2 (0.5秒),canvas.Screen,9_0_2,2023-01-12T14:16:40.195Z,,,d,,,45,216.8399999999965,timeout,eR.jpg,,,116349.39999999851,116349.10000000149,116134.30000000075,116134.89999999851,115670.886,115887.726,
刺激提示,canvas.Screen,9_0_3,2023-01-12T14:16:40.714Z,,,d,false,d,45,973.2740000000049,response,eR.jpg,b,keypress(f),116868.69999999925,116861,116349.10000000149,116349.60000000149,115887.726,116421.486,
フィードバック(0.5秒),canvas.Screen,9_0_4,2023-01-12T14:16:40.752Z,,,d,,,45,16.679999999993015,timeout,eR.jpg,,,116906.10000000149,116905.89999999851,116404.806,116870.10000000149,116421.486,116438.166,
トライアル,flow.Sequence,9_0,2023-01-12T14:16:40.752Z,,,d,,,45,1902.2139999985084,completion,eR.jpg,,,116906.19999999925,116905.89999999851,115478.39999999851,115479,115003.686,116438.166,
空白時間1 (0.5秒),canvas.Screen,9_1_0,2023-01-12T14:16:40.961Z,,,b,,,180,200.1600000000035,timeout,e.jpg,,,117115.60000000149,117115.39999999851,116905.89999999851,116906.30000000075,116438.166,116638.326,
注視(1秒),canvas.Screen,9_1_1,2023-01-12T14:16:41.588Z,,,b,,,180,633.8399999999965,timeout,e.jpg,,,117742.60000000149,117742.30000000075,117115.39999999851,117115.89999999851,116638.326,117272.166,
空白時間2 (0.5秒),canvas.Screen,9_1_2,2023-01-12T14:16:41.794Z,,,b,,,180,200.1600000000035,timeout,e.jpg,,,117948.10000000149,117947.80000000075,117742.30000000075,117742.80000000075,117272.166,117472.326,
刺激提示,canvas.Screen,9_1_3,2023-01-12T14:16:42.481Z,,,b,true,b,180,1154.873999999254,response,e.jpg,b,keypress(f),118635,118627.19999999925,117947.80000000075,117948.30000000075,117472.326,118189.566,
フィードバック(0.5秒),canvas.Screen,9_1_4,2023-01-12T14:16:42.714Z,,,b,,,180,216.8399999999965,timeout,e.jpg,,,118868.80000000075,118868.5,118172.886,118636.89999999851,118189.566,118406.406,
トライアル,flow.Sequence,9_1,2023-01-12T14:16:42.715Z,,,b,,,180,2430.3340000000026,completion,e.jpg,,,118869.19999999925,118868.5,116905.89999999851,116906.30000000075,116438.166,118406.406,
空白時間1 (0.5秒),canvas.Screen,9_2_0,2023-01-12T14:16:42.929Z,,,d,,,90,200.1600000000035,timeout,eR.jpg,,,119083.5,119083.30000000075,118868.5,118869.39999999851,118406.406,118606.566,
注視(1秒),canvas.Screen,9_2_1,2023-01-12T14:16:43.556Z,,,d,,,90,633.8399999999965,timeout,eR.jpg,,,119710.60000000149,119710.19999999925,119083.30000000075,119083.80000000075,118606.566,119240.406,
空白時間2 (0.5秒),canvas.Screen,9_2_2,2023-01-12T14:16:43.762Z,,,d,,,90,200.1600000000035,timeout,eR.jpg,,,119916.30000000075,119916.10000000149,119710.19999999925,119710.80000000075,119240.406,119440.566,
刺激提示,canvas.Screen,9_2_3,2023-01-12T14:16:44.292Z,,,d,false,d,90,998.034000001484,response,eR.jpg,b,keypress(f),120446.19999999925,120438.60000000149,119916.10000000149,119916.5,119440.566,119991.006,
フィードバック(0.5秒),canvas.Screen,9_2_4,2023-01-12T14:16:44.327Z,,,d,,,90,16.680000000007567,timeout,eR.jpg,,,120481.5,120481.30000000075,119974.326,120448.10000000149,119991.006,120007.686,
トライアル,flow.Sequence,9_2,2023-01-12T14:16:44.327Z,,,d,,,90,2074.8940000007424,completion,eR.jpg,,,120481.60000000149,120481.30000000075,118868.5,118869.39999999851,118406.406,120007.686,
空白時間1 (0.5秒),canvas.Screen,9_3_0,2023-01-12T14:16:44.329Z,,,d,,,315,16.679999999993015,timeout,eR.jpg,,,120483.19999999925,120483.19999999925,120481.30000000075,120481.60000000149,120007.686,120024.366,
注視(1秒),canvas.Screen,9_3_1,2023-01-12T14:16:44.973Z,,,d,,,315,633.8400000000111,timeout,eR.jpg,,,121127,121126.69999999925,120483.19999999925,120483.30000000075,120024.366,120658.206,
空白時間2 (0.5秒),canvas.Screen,9_3_2,2023-01-12T14:16:45.007Z,,,d,,,315,33.36000000000058,timeout,eR.jpg,,,121161.5,121161.30000000075,121126.69999999925,121127.19999999925,120658.206,120691.566,
刺激提示,canvas.Screen,9_3_3,2023-01-12T14:16:46.238Z,,,d,true,d,315,1693.1339999992488,response,eR.jpg,d,keypress(j),122392.19999999925,122384.69999999925,121161.30000000075,121161.60000000149,120691.566,121942.566,
フィードバック(0.5秒),canvas.Screen,9_3_4,2023-01-12T14:16:46.464Z,,,d,,,315,199.15599999998813,timeout,eR.jpg,,,122618.80000000075,122618.5,121925.886,122394.5,121942.566,122141.722,
トライアル,flow.Sequence,9_3,2023-01-12T14:16:46.465Z,,,d,,,315,2610.8139999999985,completion,eR.jpg,,,122619.10000000149,122618.5,120481.30000000075,120481.60000000149,120007.686,122141.722,
空白時間1 (0.5秒),canvas.Screen,9_4_0,2023-01-12T14:16:46.467Z,,,d,,,135,50.04000000000815,timeout,eR.jpg,,,122621.19999999925,122621.10000000149,122618.5,122619.30000000075,122141.722,122191.762,
注視(1秒),canvas.Screen,9_4_1,2023-01-12T14:16:47.155Z,,,d,,,135,650.5200000000041,timeout,eR.jpg,,,123309.69999999925,123309.39999999851,122621.10000000149,122621.30000000075,122191.762,122842.282,
空白時間2 (0.5秒),canvas.Screen,9_4_2,2023-01-12T14:16:47.387Z,,,d,,,135,233.51999999998952,timeout,eR.jpg,,,123541.89999999851,123541.5,123309.39999999851,123309.89999999851,122842.282,123075.802,
刺激提示,canvas.Screen,9_4_3,2023-01-12T14:16:47.993Z,,,d,true,d,135,1063.897999999259,response,eR.jpg,d,keypress(j),124147.5,124139.69999999925,123541.5,123542.10000000149,123075.802,123692.962,
フィードバック(0.5秒),canvas.Screen,9_4_4,2023-01-12T14:16:48.029Z,,,d,,,135,16.680000000007567,timeout,eR.jpg,,,124183,124182.89999999851,123676.282,124149.39999999851,123692.962,123709.642,
トライアル,flow.Sequence,9_4,2023-01-12T14:16:48.029Z,,,d,,,135,2041.1779999985156,completion,eR.jpg,,,124183.10000000149,124182.89999999851,122618.5,122619.30000000075,122141.722,123709.642,
空白時間1 (0.5秒),canvas.Screen,9_5_0,2023-01-12T14:16:48.235Z,,,d,,,180,216.8399999999965,timeout,eR.jpg,,,124389.30000000075,124389,124182.89999999851,124183.19999999925,123709.642,123926.482,
注視(1秒),canvas.Screen,9_5_1,2023-01-12T14:16:48.891Z,,,d,,,180,650.5199999999895,timeout,eR.jpg,,,125045.30000000075,125045,124389,124389.5,123926.482,124577.002,
空白時間2 (0.5秒),canvas.Screen,9_5_2,2023-01-12T14:16:49.123Z,,,d,,,180,233.52000000000407,timeout,eR.jpg,,,125277.5,125277.19999999925,125045,125045.5,124577.002,124810.522,
刺激提示,canvas.Screen,9_5_3,2023-01-12T14:16:49.850Z,,,d,true,d,180,1185.7780000007479,response,eR.jpg,d,keypress(j),126004.39999999851,125996.30000000075,125277.19999999925,125277.80000000075,124810.522,125561.122,
フィードバック(0.5秒),canvas.Screen,9_5_4,2023-01-12T14:16:50.081Z,,,d,,,180,200.1600000000035,timeout,eR.jpg,,,126235.30000000075,126235,125544.442,126006.39999999851,125561.122,125761.282,
トライアル,flow.Sequence,9_5,2023-01-12T14:16:50.081Z,,,d,,,180,2525.357999999993,completion,eR.jpg,,,126235.60000000149,126235,124182.89999999851,124183.19999999925,123709.642,125761.282,
空白時間1 (0.5秒),canvas.Screen,9_6_0,2023-01-12T14:16:50.083Z,,,b,,,90,33.36000000000058,timeout,e.jpg,,,126237.89999999851,126237.69999999925,126235,126235.80000000075,125761.282,125794.642,
注視(1秒),canvas.Screen,9_6_1,2023-01-12T14:16:50.731Z,,,b,,,90,617.1599999999889,timeout,e.jpg,,,126885.39999999851,126885.19999999925,126237.69999999925,126238,125794.642,126411.802,
空白時間2 (0.5秒),canvas.Screen,9_6_2,2023-01-12T14:16:50.733Z,,,b,,,90,16.680000000007567,timeout,e.jpg,,,126887.80000000075,126887.69999999925,126885.19999999925,126885.80000000075,126411.802,126428.482,
刺激提示,canvas.Screen,9_6_3,2023-01-12T14:16:51.256Z,,,b,true,b,90,973.8180000007414,response,e.jpg,b,keypress(f),127410,127402.30000000075,126887.69999999925,126888,126428.482,126962.242,
フィードバック(0.5秒),canvas.Screen,9_6_4,2023-01-12T14:16:51.491Z,,,b,,,90,216.8399999999965,timeout,e.jpg,,,127645.39999999851,127645.10000000149,126945.562,127412,126962.242,127179.082,
トライアル,flow.Sequence,9_6,2023-01-12T14:16:51.491Z,,,b,,,90,1883.8180000014836,completion,e.jpg,,,127645.69999999925,127645.10000000149,126235,126235.80000000075,125761.282,127179.082,
空白時間1 (0.5秒),canvas.Screen,9_7_0,2023-01-12T14:16:51.525Z,,,d,,,225,33.36000000000058,timeout,eR.jpg,,,127679.5,127679.39999999851,127645.10000000149,127645.89999999851,127179.082,127212.442,
注視(1秒),canvas.Screen,9_7_1,2023-01-12T14:16:52.176Z,,,d,,,225,650.5200000000041,timeout,eR.jpg,,,128330.89999999851,128330.60000000149,127679.39999999851,127679.60000000149,127212.442,127862.962,
空白時間2 (0.5秒),canvas.Screen,9_7_2,2023-01-12T14:16:52.409Z,,,d,,,225,233.52000000000407,timeout,eR.jpg,,,128563.10000000149,128562.80000000075,128330.60000000149,128331.19999999925,127862.962,128096.482,
刺激提示,canvas.Screen,9_7_3,2023-01-12T14:16:53.348Z,,,d,true,d,225,1398.5179999999964,response,eR.jpg,d,keypress(j),129502.69999999925,129495,128562.80000000075,128563.39999999851,128096.482,129063.922,
フィードバック(0.5秒),canvas.Screen,9_7_4,2023-01-12T14:16:53.587Z,,,d,,,225,200.15999999998894,timeout,eR.jpg,,,129741.5,129741.19999999925,129047.242,129515.69999999925,129063.922,129264.082,
トライアル,flow.Sequence,9_7,2023-01-12T14:16:53.587Z,,,d,,,225,2562.11799999926,completion,eR.jpg,,,129741.89999999851,129741.19999999925,127645.10000000149,127645.89999999851,127179.082,129264.082,
空白時間1 (0.5秒),canvas.Screen,9_8_0,2023-01-12T14:16:53.589Z,,,b,,,0,50.04000000000815,timeout,e.jpg,,,129743.89999999851,129743.69999999925,129741.19999999925,129742.10000000149,129264.082,129314.122,
注視(1秒),canvas.Screen,9_8_1,2023-01-12T14:16:54.260Z,,,b,,,0,633.8399999999965,timeout,e.jpg,,,130414.89999999851,130414.60000000149,129743.69999999925,129744.10000000149,129314.122,129947.962,
空白時間2 (0.5秒),canvas.Screen,9_8_2,2023-01-12T14:16:54.499Z,,,b,,,0,233.52000000000407,timeout,e.jpg,,,130653,130652.69999999925,130414.60000000149,130415.19999999925,129947.962,130181.482,
刺激提示,canvas.Screen,9_8_3,2023-01-12T14:16:54.935Z,,,b,true,b,0,899.7179999992513,response,e.jpg,b,keypress(f),131089.1000000015,131081.19999999925,130652.69999999925,130653.30000000075,130181.482,130631.842,
フィードバック(0.5秒),canvas.Screen,9_8_4,2023-01-12T14:16:55.154Z,,,b,,,0,200.15999999998894,timeout,e.jpg,,,131308.80000000075,131308.6000000015,130615.162,131091.19999999925,130631.842,130832.002,
トライアル,flow.Sequence,9_8,2023-01-12T14:16:55.155Z,,,b,,,0,2044.5180000014952,completion,e.jpg,,,131309.19999999925,131308.6000000015,129741.19999999925,129742.10000000149,129264.082,130832.002,
空白時間1 (0.5秒),canvas.Screen,9_9_0,2023-01-12T14:16:55.157Z,,,d,,,270,33.36000000000058,timeout,eR.jpg,,,131311.19999999925,131311,131308.6000000015,131309.30000000075,130832.002,130865.362,
注視(1秒),canvas.Screen,9_9_1,2023-01-12T14:16:55.799Z,,,d,,,270,617.1600000000035,timeout,eR.jpg,,,131954,131953.69999999925,131311,131311.30000000075,130865.362,131482.522,
空白時間2 (0.5秒),canvas.Screen,9_9_2,2023-01-12T14:16:56.002Z,,,d,,,270,200.1600000000035,timeout,eR.jpg,,,132156.19999999925,132156,131953.69999999925,131954.1000000015,131482.522,131682.682,
刺激提示,canvas.Screen,9_9_3,2023-01-12T14:16:56.510Z,,,d,true,d,270,973.6180000007444,response,eR.jpg,d,keypress(j),132664.1000000015,132656.30000000075,132156,132156.19999999925,131682.682,132216.442,
フィードバック(0.5秒),canvas.Screen,9_9_4,2023-01-12T14:16:56.739Z,,,d,,,270,216.0689999999886,timeout,eR.jpg,,,132893.69999999925,132893.3999999985,132199.762,132665.80000000075,132216.442,132432.511,
トライアル,flow.Sequence,9_9,2023-01-12T14:16:56.740Z,,,d,,,270,2061.3979999985168,completion,eR.jpg,,,132894.1000000015,132893.3999999985,131308.6000000015,131309.30000000075,130832.002,132432.511,
空白時間1 (0.5秒),canvas.Screen,9_10_0,2023-01-12T14:16:56.774Z,,,b,,,225,33.360000000015134,timeout,e.jpg,,,132928.19999999925,132928.1000000015,132893.3999999985,132894.19999999925,132432.511,132465.871,
注視(1秒),canvas.Screen,9_10_1,2023-01-12T14:16:57.413Z,,,b,,,225,633.8399999999965,timeout,e.jpg,,,133567,133566.69999999925,132928.1000000015,132928.30000000075,132465.871,133099.711,
